document_id,case title,judges name(s),date of judgment,citation,issues,decision,cited cases,all_text
0,Chatterjee vs Dugar,"Arun Mishra, D. Y. Chandrachud, Madan B. Lokur","03 December, 2020",,Contract breach,1,Navtej Singh Johar v. Union of India|Olga Tellis v. Bombay Municipal Corporation|Vishaka v. State of Rajasthan|S. P. Gupta v. President of India,Id nemo alias inventore excepturi. Officiis recusandae aspernatur deserunt saepe dolorum iusto. Odit optio adipisci tempora soluta voluptas nam. Qui libero totam at soluta est. Expedita facilis aperiam. Laborum ab quod explicabo a. Sed quia facilis. Minima officiis nostrum iure autem. Voluptates magni facilis ipsum quae iure laborum. Autem inventore doloremque repellat accusantium fuga porro. Nulla voluptates ex numquam hic.
1,Sem vs Cheema,"Madan B. Lokur, A. K. Sikri, Arun Mishra","02 December, 2017",,Defamation,1,Navtej Singh Johar v. Union of India|Vishaka v. State of Rajasthan,Perferendis nulla labore fugiat. Ut eveniet at vel sequi. Doloremque vitae minima exercitationem cum iure incidunt. Placeat reiciendis expedita odio ipsam officia. Illo accusantium magni inventore. Totam debitis corrupti recusandae molestiae. Quibusdam minima aliquam aspernatur dolores cumque dolore. Nesciunt corporis soluta cupiditate. Officia aspernatur aut illo ea ipsa. In corrupti aspernatur nemo voluptas.
2,Ram vs Majumdar,N. V. Ramana,"13 February, 2018",,Corporate fraud|Labour Laws|Section 307 in The Indian Penal Code,-1,Vishaka v. State of Rajasthan|A. R. Antulay v. R. S. Nayak,Similique adipisci sapiente eligendi adipisci. Ducimus ducimus tenetur tempora. Dolorem quidem tenetur placeat commodi. Voluptas tempora aliquam at. Quia voluptatum aperiam unde. Quos iste amet velit quia sequi harum quia. Tempora ab reiciendis aliquid veritatis officia aliquid. Similique sed veniam consequatur similique repudiandae earum. Aliquid temporibus nesciunt eos illum aspernatur.
3,Balan vs Sampath,R. F. Nariman,"25 May, 2019",,Section 302 in The Indian Penal Code|Defamation,-1,Vishaka v. State of Rajasthan|S. P. Gupta v. President of India|Indira Nehru Gandhi v. Raj Narain,Nam ipsa laborum perspiciatis tempora modi. Cumque eligendi saepe blanditiis officiis dolorem. Vel impedit rerum dolore. Aperiam quis modi cum sed. Sunt temporibus reprehenderit iste voluptatum illum. Voluptates dolor molestiae autem dolorum autem. Sint quo libero deleniti. Corporis quisquam facere fugit quod impedit consequuntur. Blanditiis numquam vero corrupti dolorem. Totam tempore dignissimos mollitia. Assumenda vero quibusdam cupiditate quia voluptatum.
4,Bhasin vs Babu,"Kurian Joseph, N. V. Ramana","24 October, 2022",,Bail under CrPC,1,S. P. Gupta v. President of India|Navtej Singh Johar v. Union of India|Maneka Gandhi v. Union of India,Rerum iure ipsa saepe necessitatibus voluptatem eum nulla. Rerum in alias alias soluta. Atque id repudiandae animi reprehenderit impedit molestias. Doloribus ipsa repellat quis in. Asperiores perspiciatis possimus sapiente. Eveniet quisquam error impedit eos laborum. Modi voluptates harum quod inventore sequi. Modi rem nobis enim. Veniam dolorem at. Modi architecto laboriosam. Architecto recusandae officia qui aliquid consectetur asperiores est. Assumenda amet hic quasi in earum.
5,Singhal vs Bhatia,"A. K. Sikri, Indu Malhotra","04 March, 2020",,Bail under CrPC|Section 149 in The Indian Penal Code,1,Aruna Shanbaug v. Union of India,Iusto possimus ratione quos. Reiciendis pariatur occaecati nisi possimus distinctio. Suscipit commodi nemo ipsam natus dicta. Quibusdam accusamus laudantium. Rem earum qui dolor saepe. Unde natus sed sequi reiciendis commodi eveniet quibusdam. Non molestias dolorum non ad. Expedita itaque modi. Nihil qui corrupti inventore laudantium harum provident.
6,Shetty vs Thakur,"A. K. Sikri, Arun Mishra, U. U. Lalit","19 July, 2024",,Section 307 in The Indian Penal Code|Contract breach,1,Keshavananda Bharati v. State of Kerala|MC Mehta v. Union of India|A. R. Antulay v. R. S. Nayak|Navtej Singh Johar v. Union of India,Dolore at nulla recusandae similique libero. Nam quasi ipsa aliquid. Cum explicabo mollitia totam nostrum dolores asperiores. Quos ut quidem architecto voluptas ipsa vel. Repellendus saepe sed molestias occaecati iusto. Tempora praesentium cupiditate. Itaque dolore fugit deleniti optio cupiditate. Eum fugiat minus dolor laudantium amet error.
7,Chaudhuri vs Kala,"A. K. Sikri, Arun Mishra","30 April, 2021",,Corporate fraud|Contract breach,1,Olga Tellis v. Bombay Municipal Corporation|Vishaka v. State of Rajasthan|Indira Nehru Gandhi v. Raj Narain|Navtej Singh Johar v. Union of India,Dolores sapiente libero dicta. Excepturi distinctio aliquam necessitatibus rerum laboriosam debitis. Recusandae nihil quod. Possimus culpa quae voluptas praesentium. Fugiat quibusdam fugit voluptate in. Fuga omnis ab dolores possimus quasi modi. Numquam et nemo. Ratione ipsam quas totam assumenda dolores velit delectus. Vel reiciendis quam deserunt suscipit nostrum expedita. Rerum quas eos suscipit voluptatum accusamus rem.
8,Rajan vs Vyas,U. U. Lalit,"01 December, 2018",,Property dispute,-1,Aruna Shanbaug v. Union of India|S. P. Gupta v. President of India,Qui eius id facere porro eligendi. Eligendi maxime adipisci porro aut facere reiciendis. Tempora itaque expedita. Incidunt voluptatem veritatis sequi adipisci dolor maxime. Dicta temporibus molestias facilis id ut optio. Eum sit libero quod dolorem debitis temporibus quam. Quaerat beatae nihil ducimus sapiente deserunt expedita. Labore culpa non molestias dolore officia impedit.
9,Jha vs Kapoor,U. U. Lalit,"16 December, 2021",,Section 307 in The Indian Penal Code|Bail under CrPC|Section 498A in The Indian Penal Code,1,S. P. Gupta v. President of India|Maneka Gandhi v. Union of India,Asperiores necessitatibus inventore pariatur. Unde deleniti labore ullam sequi. Aperiam rem iste veritatis. Magnam impedit enim sequi sunt repellat facere sint. Perspiciatis magni molestias omnis. Vero ut totam iusto officia modi repellat. Sapiente sequi totam similique officia ipsum. Cum dolor praesentium quaerat natus. Quo dignissimos corporis dicta placeat blanditiis. Repellendus ipsa maiores nemo sapiente recusandae.
10,Bahl vs Bandi,"A. K. Sikri, Kurian Joseph, Madan B. Lokur","11 September, 2017",,Section 498A in The Indian Penal Code|Section 307 in The Indian Penal Code,-1,Vishaka v. State of Rajasthan|Maneka Gandhi v. Union of India|Indira Nehru Gandhi v. Raj Narain,Possimus eaque fuga. Odit voluptatum aliquam hic quod. Vitae nam eveniet reprehenderit error. Architecto voluptatum saepe eius libero. Ipsa veritatis earum repudiandae facilis dolorum quae quos. Ipsum nisi debitis vitae numquam provident dolore excepturi. Officia molestias qui a iusto. Alias cupiditate sapiente quisquam tenetur ex. Quis quidem quam fugiat omnis voluptas repudiandae.
11,Date vs Badami,"R. F. Nariman, Arun Mishra","03 June, 2023",,Section 498A in The Indian Penal Code|Bail under CrPC,-1,A. R. Antulay v. R. S. Nayak|Navtej Singh Johar v. Union of India,Quibusdam eum quidem ea quibusdam assumenda. Rem culpa quae commodi maiores. Tenetur aliquam quis nihil blanditiis mollitia dignissimos. Perferendis explicabo at dicta maiores. Deserunt deleniti soluta recusandae voluptas quasi voluptate. Quidem iste ad eum animi. Est reiciendis officia vitae aliquid expedita. Doloremque sint officiis odit itaque et maiores ad. Ullam qui error libero voluptatibus consectetur cumque. Assumenda commodi ipsum sint.
